Time (ms),Temperature (deg C),Pressure (hpa),Humidity (%),Altitude (m),ax (m/s²),ay (m/s²),az (m/s²),gx (rad/s),gy (rad/s),gz (rad/s)
60006,23.12,1019.44,37.76,-51.41,2.96,-0.44,-10.88,-0.09,-0.06,-0.03
60024,23.12,1019.44,37.76,-51.41,2.97,-0.43,-10.88,-0.09,-0.06,-0.03
60042,23.12,1019.44,37.76,-51.41,2.95,-0.40,-10.89,-0.09,-0.06,-0.03
60060,23.12,1019.44,37.76,-51.41,2.95,-0.42,-10.90,-0.09,-0.06,-0.02
60081,23.12,1019.44,37.76,-51.25,3.01,-0.42,-10.86,-0.07,-0.07,-0.03
60099,23.12,1019.42,37.68,-51.25,2.92,-0.50,-10.91,-0.12,-0.06,-0.01
60116,23.12,1019.42,37.68,-51.25,3.00,-0.33,-10.89,-0.07,-0.06,-0.05
60135,23.12,1019.42,37.68,-51.25,2.96,-0.49,-10.89,-0.11,-0.06,-0.00
60153,23.12,1019.42,37.68,-51.25,2.98,-0.45,-10.89,-0.08,-0.06,-0.03
60171,23.12,1019.42,37.68,-51.25,2.91,-0.36,-10.88,-0.10,-0.06,-0.01
60189,23.11,1019.42,37.72,-51.21,2.98,-0.48,-10.88,-0.09,-0.06,-0.03
60210,23.11,1019.42,37.72,-51.21,2.97,-0.37,-10.91,-0.09,-0.06,-0.03
60228,23.11,1019.42,37.72,-51.21,2.94,-0.38,-10.92,-0.09,-0.06,-0.01
60246,23.11,1019.42,37.72,-51.21,2.98,-0.41,-10.89,-0.08,-0.06,-0.01
60264,23.11,1019.42,37.72,-51.21,2.93,-0.47,-10.83,-0.08,-0.07,-0.03
60282,23.11,1019.41,37.73,-51.20,2.94,-0.41,-10.91,-0.12,-0.06,-0.01
60301,23.11,1019.41,37.73,-51.20,3.02,-0.40,-10.92,-0.07,-0.06,-0.05
60318,23.11,1019.41,37.73,-51.20,2.92,-0.44,-10.86,-0.10,-0.06,-0.01
60337,23.11,1019.41,37.73,-51.20,2.97,-0.44,-10.88,-0.09,-0.06,-0.03
60364,23.11,1019.41,37.73,-51.20,2.96,-0.48,-10.90,-0.08,-0.06,-0.03
60383,23.11,1019.40,37.76,-51.09,2.96,-0.40,-10.89,-0.10,-0.06,-0.02
60401,23.11,1019.40,37.76,-51.09,2.94,-0.40,-10.88,-0.09,-0.06,-0.02
60419,23.11,1019.40,37.76,-51.09,2.99,-0.42,-10.89,-0.08,-0.06,-0.03
60437,23.11,1019.40,37.76,-51.09,2.94,-0.46,-10.86,-0.10,-0.06,-0.02
60455,23.11,1019.40,37.76,-51.09,2.97,-0.40,-10.88,-0.09,-0.06,-0.03
60474,23.11,1019.41,37.74,-51.17,3.00,-0.39,-10.87,-0.09,-0.06,-0.02
60493,23.11,1019.41,37.74,-51.17,2.94,-0.47,-10.87,-0.09,-0.06,-0.03
60512,23.11,1019.41,37.74,-51.17,2.94,-0.40,-10.90,-0.10,-0.06,-0.03
60530,23.11,1019.41,37.74,-51.17,2.97,-0.38,-10.86,-0.09,-0.06,-0.02
60549,23.11,1019.41,37.74,-51.17,2.95,-0.47,-10.88,-0.09,-0.06,-0.02
60566,23.11,1019.41,37.75,-51.09,2.94,-0.41,-10.89,-0.10,-0.06,-0.02
60584,23.12,1019.40,37.75,-51.09,2.97,-0.41,-10.92,-0.09,-0.06,-0.03
60603,23.12,1019.40,37.75,-51.09,2.98,-0.45,-10.89,-0.09,-0.06,-0.02
60623,23.12,1019.40,37.75,-51.09,2.97,-0.40,-10.88,-0.10,-0.06,-0.02
60641,23.12,1019.40,37.75,-51.09,2.94,-0.38,-10.89,-0.09,-0.06,-0.02
60659,23.12,1019.40,37.75,-51.09,2.94,-0.44,-10.85,-0.08,-0.06,-0.02
60678,23.12,1019.42,37.74,-51.23,2.94,-0.44,-10.89,-0.09,-0.06,-0.02
60695,23.12,1019.42,37.74,-51.23,2.95,-0.39,-10.87,-0.09,-0.06,-0.02
60713,23.12,1019.42,37.74,-51.23,2.97,-0.41,-10.88,-0.09,-0.06,-0.02
60732,23.12,1019.42,37.74,-51.23,2.98,-0.45,-10.88,-0.09,-0.06,-0.02
60750,23.12,1019.42,37.74,-51.23,2.97,-0.45,-10.88,-0.09,-0.06,-0.02
60770,23.12,1019.43,37.68,-51.32,2.96,-0.41,-10.89,-0.09,-0.06,-0.02
60788,23.12,1019.43,37.68,-51.32,2.95,-0.43,-10.89,-0.09,-0.06,-0.02
60807,23.12,1019.43,37.68,-51.32,2.98,-0.43,-10.90,-0.09,-0.06,-0.02
60825,23.12,1019.43,37.68,-51.32,2.94,-0.44,-10.90,-0.09,-0.06,-0.02
60843,23.12,1019.43,37.68,-51.32,2.93,-0.41,-10.88,-0.09,-0.06,-0.02
60861,23.12,1019.42,37.63,-51.22,2.96,-0.44,-10.90,-0.09,-0.06,-0.03
60879,23.12,1019.42,37.63,-51.22,2.97,-0.41,-10.90,-0.09,-0.06,-0.02
60900,23.12,1019.42,37.63,-51.22,2.97,-0.41,-10.90,-0.09,-0.06,-0.03
60917,23.12,1019.42,37.63,-51.22,2.93,-0.47,-10.92,-0.10,-0.06,-0.03
60936,23.12,1019.42,37.63,-51.22,2.98,-0.39,-10.90,-0.09,-0.06,-0.03
60954,23.12,1019.42,37.63,-51.27,2.96,-0.44,-10.87,-0.09,-0.06,-0.03
60972,23.12,1019.42,37.75,-51.27,2.95,-0.43,-10.90,-0.10,-0.06,-0.03
60990,23.12,1019.42,37.75,-51.27,2.96,-0.45,-10.89,-0.09,-0.06,-0.03
61008,23.12,1019.42,37.75,-51.27,2.95,-0.43,-10.90,-0.09,-0.06,-0.02
