pressure (hpa),temperature (deg C),humidity (%),co2 (ppm),tvoc (ppb)
1020.25,17.30,57.75,400.00,0.00
1020.26,17.29,58.28,400.00,0.00
1020.30,17.28,58.61,400.00,0.00
1020.30,17.23,59.21,407.00,1.00
1020.35,17.21,59.66,416.00,2.00
1020.36,17.16,60.11,416.00,2.00
1020.34,17.12,60.57,416.00,2.00
1020.34,17.07,61.03,420.00,3.00
1020.33,17.03,61.48,420.00,3.00
1020.34,16.99,61.93,420.00,3.00
1020.35,16.94,62.39,424.00,3.00
1020.36,16.90,62.83,424.00,3.00
1020.38,16.86,63.28,432.00,4.00
1020.37,16.82,63.71,432.00,4.00
1020.37,16.78,64.14,432.00,4.00
1020.38,16.75,64.58,435.00,5.00
1020.36,16.72,65.01,435.00,5.00
1020.38,16.70,65.45,435.00,5.00
1020.39,16.67,65.88,441.00,6.00
1020.37,16.65,66.29,441.00,6.00
1020.41,16.63,66.71,444.00,6.00
1020.37,16.61,67.10,444.00,6.00
1020.36,16.59,67.51,450.00,7.00
1020.38,16.58,67.90,450.00,7.00
1020.39,16.56,68.28,450.00,7.00
1020.39,16.55,68.65,450.00,7.00
1020.38,16.54,69.02,450.00,7.00
1020.41,16.54,69.38,455.00,8.00
1020.40,16.53,69.73,455.00,8.00
1020.39,16.53,70.07,455.00,8.00
1020.38,16.52,70.41,455.00,8.00
1020.45,16.53,70.74,455.00,8.00
1020.40,16.52,71.06,459.00,8.00
1020.45,16.53,71.38,459.00,8.00
1020.43,16.53,71.70,459.00,8.00
1020.43,16.53,72.01,459.00,8.00
1020.44,16.53,72.31,459.00,8.00
1020.44,16.55,72.59,463.00,9.00
1020.45,16.55,72.87,463.00,9.00
1020.43,16.56,73.17,463.00,9.00
1020.44,16.57,73.45,465.00,9.00
1020.44,16.58,73.72,463.00,9.00
1020.43,16.60,73.98,465.00,9.00
1020.41,16.61,74.24,465.00,9.00
1020.45,16.62,74.50,465.00,9.00
1020.47,16.63,74.73,476.00,11.00
1020.49,16.65,74.97,476.00,11.00
1020.48,16.67,75.20,465.00,9.00
1020.50,16.69,75.45,476.00,11.00
1020.49,16.71,75.68,478.00,11.00
1020.45,16.72,75.90,478.00,11.00
1020.44,16.74,76.09,478.00,11.00
1020.46,16.76,76.29,478.00,11.00
1020.43,16.77,76.47,476.00,11.00
1020.44,16.79,76.65,478.00,11.00
1020.45,16.81,76.82,478.00,11.00
1020.46,16.84,76.99,478.00,11.00
1020.46,16.85,77.15,478.00,11.00
1020.47,16.88,77.31,478.00,11.00
